video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/gAjxxuxA2OQ,/@CBCNews,CBC News,Federal judge: ICE agents cannot detain or tear gas peaceful protesters,34K,2 days,"On Friday, a federal judge in Minnesota imposed restrictions on the methods that federal law enforcement can employ when ...",2026-01-20 17:19:59.604526
/watch?v=lDuOvDNYXoU&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@Foxla,FOX 11 Los Angeles,Iranian-Americans protest gov't crackdown,25K,1 day,Thousands of people took to the streets of downtown LA to protest for peace in Iran. Subscribe to FOX 11 on YouTube: ...,2026-01-20 17:19:59.606234
/shorts/_omFoGeHoj4,/@royanewsenglish,Roya News English,Thousands protest in the capital of Greenland against Trump's threats,14K,2 days,Aerial shots of protesters gathering in Nuuk to protest against President Donald Trump's plans for the US to annex the Danish ...,2026-01-20 17:19:59.607375
/watch?v=ViIlTMK19HA&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@cbcbritishcolumbia,CBC British Columbia,Heavy police presence for multiple weekend protests in downtown Vancouver,3.7K,1 day,"It was a weekend of demonstrations in Vancouver with at least 11 protests happening across the city, drawing thousands of ...",2026-01-20 17:19:59.608567
/watch?v=VZlDWRyrlt8&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@globalnews,Global News,"""Moment of revolt, of indignation,"" says Indigenous leader during protest at COP30",6.9K,2 months,Dozens of Indigenous protesters forced their way into the COP30 climate summit venue on Tuesday and clashed with security ...,2026-01-20 17:20:06.074764
/watch?v=b78hOsYdlMc&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@ForbesBreakingNews,Forbes Breaking News,Counter-Protesters Chant Anti-ICE Slogans During Minnesota Fraud Protest Held In Minneapolis,23K,2 days,"During a protest in Minneapolis on Saturday to demonstrate against Minnesota fraud allegations, counter-protesters chanted ...",2026-01-20 17:20:06.076321
/shorts/9ClGMjqQEO0,/@KSTPTV,KSTP 5 Eyewitness News,Protests continue at the federal Whipple Building,23K,7 days,Additional fencing and concrete barriers went up overnight at the federal Whipple Building as protestors continue to gather and ...,2026-01-20 17:20:06.077653
/shorts/nUM6za4rkXU,/@dwnews,DW News,Protesters disrupt church service over ICE pastor in Minnesota | DW News,5.7K,23 hours,"Protesters disrupted a church service in St. Paul, Minnesota, where activists allege a local ICE official works as a pastor. Protests ...",2026-01-20 17:20:06.079127
/watch?v=-Je6DsMNjjY&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@cnnnews18,CNN-News18,LIVE | French Farmers Protest at EU Parliament in Strasbourg | Trade Deal | Europe News- N18G,1.1K,Streamed 4 hours,"French farmers have gathered in Strasbourg, marching to the European Parliament to protest against the Mercosur trade deal, ...",2026-01-20 17:20:06.080501
/shorts/YEkDodu7ofY,/@ABC10,ABC10,Turlock rally highlights crackdown on protesters in Iran,1K,1 day,Dozens rallied in Turlock on Sunday in support of protesters in Iran amid reports of a violent government crackdown.,2026-01-20 17:20:06.082861
